stimulus_id,image_path,source_id,condition_id,outline,shading,shading_region,material,outer_color,center_color,background_color,width_px,height_px,sha256
user-dog__oa-sn-ma-pbw,images/user-dog/background-black/user-dog__oa-sn-ma-pbw.png,user-dog,oa-sn-ma-pbw,ambiguous,none,none,ambiguous,black,white,black,1024,1024,5328090ebd277d1d6a176238c687d1eb7ac7f011b64316da875952bbfad83c0d
user-dog__oa-sn-mv-pbg,images/user-dog/background-black/user-dog__oa-sn-mv-pbg.png,user-dog,oa-sn-mv-pbg,ambiguous,none,none,vase,black,gray,black,1024,1024,29dd4e9a78c663733a7aecec2e1355d3b047a9b27c769429856b3721b0cf97c2
user-dog__oa-sn-mv-pbw,images/user-dog/background-black/user-dog__oa-sn-mv-pbw.png,user-dog,oa-sn-mv-pbw,ambiguous,none,none,vase,black,white,black,1024,1024,3f57296f88107dd589efc881065840abee453126d3b021a3a9b195120c788644
user-dog__of-sf-ma-pgb,images/user-dog/background-black/user-dog__of-sf-ma-pgb.png,user-dog,of-sf-ma-pgb,face,figure,face,ambiguous,gray,black,black,1024,1024,815cc72ee471ff1fa7fe89053a14061e153bd72096c754e321992544613600c2
user-dog__of-sf-ma-pwb,images/user-dog/background-black/user-dog__of-sf-ma-pwb.png,user-dog,of-sf-ma-pwb,face,figure,face,ambiguous,white,black,black,1024,1024,3222f8af65d7d51658b0241aea0073220a733bc85b3218e04248798b4eb7cfbe
user-dog__of-sn-ma-pgb,images/user-dog/background-black/user-dog__of-sn-ma-pgb.png,user-dog,of-sn-ma-pgb,face,none,none,ambiguous,gray,black,black,1024,1024,35dca551d8da099efe585533b2f589c27d9a23fa6bdb0087a9d25988af961337
user-dog__of-sn-ma-pwb,images/user-dog/background-black/user-dog__of-sn-ma-pwb.png,user-dog,of-sn-ma-pwb,face,none,none,ambiguous,white,black,black,1024,1024,63b335324fc3276829552a18b7cdcd7f08617eb48794acf14714f05d92a4773e
user-dog__oa-sf-ma-pgb,images/user-dog/background-gray/user-dog__oa-sf-ma-pgb.png,user-dog,oa-sf-ma-pgb,ambiguous,figure,vase,ambiguous,gray,black,gray,1024,1024,f7cc68306169cc09be00938732ebf56c7854a611b84be6a89b5b1797b8d61363
user-dog__oa-sf-ma-pgw,images/user-dog/background-gray/user-dog__oa-sf-ma-pgw.png,user-dog,oa-sf-ma-pgw,ambiguous,figure,vase,ambiguous,gray,white,gray,1024,1024,df948c9b0bb31d2d4f16feb13ac809edaf145f33fe960b8d82a3879d2f89f003
user-dog__oa-sn-ma-pgb,images/user-dog/background-gray/user-dog__oa-sn-ma-pgb.png,user-dog,oa-sn-ma-pgb,ambiguous,none,none,ambiguous,gray,black,gray,1024,1024,8bd7e1042ac6e61ab29bb215946b16a656cf49c5ded25b86f1d4ede370578654
user-dog__oa-sn-ma-pgw,images/user-dog/background-gray/user-dog__oa-sn-ma-pgw.png,user-dog,oa-sn-ma-pgw,ambiguous,none,none,ambiguous,gray,white,gray,1024,1024,49fa1725d8a0c9d7ba4a23eaf744eb1ffff4ec50ca96915a4c36f8fda77d8e51
user-dog__oa-sn-mv-pgb,images/user-dog/background-gray/user-dog__oa-sn-mv-pgb.png,user-dog,oa-sn-mv-pgb,ambiguous,none,none,vase,gray,black,gray,1024,1024,ae3b7883c2035c71d15414a52c272c1471a1f390d2a9f5ac59a5230994b19e00
user-dog__oa-sn-mv-pgw,images/user-dog/background-gray/user-dog__oa-sn-mv-pgw.png,user-dog,oa-sn-mv-pgw,ambiguous,none,none,vase,gray,white,gray,1024,1024,8fab41072c61b771d7bc5d4a47fbaac1c0b659ba2decafaf5eb3c3e83aa0dad7
user-dog__of-sf-ma-pbg,images/user-dog/background-gray/user-dog__of-sf-ma-pbg.png,user-dog,of-sf-ma-pbg,face,figure,face,ambiguous,black,gray,gray,1024,1024,c4eb7f49367fbd1c3d6d8ecec881dcffd7cf8b1b3d129c9800de21f19a99d7ec
user-dog__of-sf-ma-pwg,images/user-dog/background-gray/user-dog__of-sf-ma-pwg.png,user-dog,of-sf-ma-pwg,face,figure,face,ambiguous,white,gray,gray,1024,1024,ebf8020cdfc67989ef1b0c3603df0668fa0e9de78439a5627fde3cac5cfc9fa8
user-dog__of-sn-ma-pbg,images/user-dog/background-gray/user-dog__of-sn-ma-pbg.png,user-dog,of-sn-ma-pbg,face,none,none,ambiguous,black,gray,gray,1024,1024,2621a5b6427640604f95dafef70883180b5f7941dd65c1c75b6eae51cda77ed4
user-dog__of-sn-ma-pwg,images/user-dog/background-gray/user-dog__of-sn-ma-pwg.png,user-dog,of-sn-ma-pwg,face,none,none,ambiguous,white,gray,gray,1024,1024,453349f0ee19501466312d6c262364537de431d8121ecafa2621f69992a1b834
user-dog__oa-sf-ma-pwb,images/user-dog/background-white/user-dog__oa-sf-ma-pwb.png,user-dog,oa-sf-ma-pwb,ambiguous,figure,vase,ambiguous,white,black,white,1024,1024,2e6bc0d9a4fb9b44c59e75ec7345c434092e3ba65d927fe46beeec1d1664dd0c
user-dog__oa-sf-ma-pwg,images/user-dog/background-white/user-dog__oa-sf-ma-pwg.png,user-dog,oa-sf-ma-pwg,ambiguous,figure,vase,ambiguous,white,gray,white,1024,1024,ab6e850e824ca17fd3c50045b303a871a24b9f2606b69ab483ef6a7034967bec
user-dog__oa-sn-ma-pwb,images/user-dog/background-white/user-dog__oa-sn-ma-pwb.png,user-dog,oa-sn-ma-pwb,ambiguous,none,none,ambiguous,white,black,white,1024,1024,2e978d0a0b6327fd446467b589ca2e9d1df26e3fed292c55b5155a9c0a9ba750
user-dog__oa-sn-ma-pwg,images/user-dog/background-white/user-dog__oa-sn-ma-pwg.png,user-dog,oa-sn-ma-pwg,ambiguous,none,none,ambiguous,white,gray,white,1024,1024,c91b7500eacf87a334295510212de9d0d78b2097bd2c00400f52b07dfefc0b56
